threshold,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,reject_precision,reject_recall,reject_f1,reject_support,false_accepts,false_rejects
0.43,0.9415011037527594,0.9361501772608449,0.9581859940270263,0.9451205546831551,0.944659193340922,0.9415011037527594,0.9412985219998002,0.9623430962343096,0.8949416342412452,0.9274193548387096,257,27,9
0.44,0.9415011037527594,0.9361501772608449,0.9581859940270263,0.9451205546831551,0.944659193340922,0.9415011037527594,0.9412985219998002,0.9623430962343096,0.8949416342412452,0.9274193548387096,257,27,9
0.45,0.9415011037527594,0.9361501772608449,0.9581859940270263,0.9451205546831551,0.944659193340922,0.9415011037527594,0.9412985219998002,0.9623430962343096,0.8949416342412452,0.9274193548387096,257,27,9
0.46,0.9415011037527594,0.9361501772608449,0.9581859940270263,0.9451205546831551,0.944659193340922,0.9415011037527594,0.9412985219998002,0.9623430962343096,0.8949416342412452,0.9274193548387096,257,27,9
0.47,0.9426048565121413,0.9376237525515873,0.9583712821500576,0.9460552408945453,0.9455532647551385,0.9426048565121413,0.9423927734008875,0.9625,0.8988326848249028,0.9295774647887324,257,26,9
0.48,0.9437086092715232,0.9387826896217495,0.9585565702730889,0.9467736712741247,0.9465315896061692,0.9437086092715232,0.943502290663435,0.9626556016597511,0.9027237354085603,0.9317269076305221,257,25,9
0.49,0.9448123620309051,0.9396710564455445,0.9587418583961203,0.9473847739453102,0.947392201789323,0.9448123620309051,0.9445816349075489,0.9628099173553719,0.9066147859922179,0.9338677354709419,257,24,9
0.5,0.9459161147902869,0.942751410786108,0.9574703985173881,0.94825653491566,0.9483977092884802,0.9459161147902869,0.9456666713513033,0.9591836734693877,0.914396887159533,0.9362549800796812,257,22,10
0.51,0.9459161147902869,0.942751410786108,0.9574703985173881,0.94825653491566,0.9483977092884802,0.9459161147902869,0.9456666713513033,0.9591836734693877,0.914396887159533,0.9362549800796812,257,22,10
0.52,0.9437086092715232,0.9421702830868748,0.9543751604221501,0.9465092514052436,0.9460241578441162,0.9437086092715232,0.9434944248148922,0.951417004048583,0.914396887159533,0.9325396825396826,257,22,12
0.53,0.9448123620309051,0.9439912058220221,0.9545604485451814,0.9475760913042586,0.9470035205486257,0.9448123620309051,0.9445867195091033,0.9516129032258065,0.9182879377431906,0.9346534653465347,257,21,12
0.54,0.9448123620309051,0.9439912058220221,0.9545604485451814,0.9475760913042586,0.9470035205486257,0.9448123620309051,0.9445867195091033,0.9516129032258065,0.9182879377431906,0.9346534653465347,257,21,12
0.55,0.9448123620309051,0.9439912058220221,0.9545604485451814,0.9475760913042586,0.9470035205486257,0.9448123620309051,0.9445867195091033,0.9516129032258065,0.9182879377431906,0.9346534653465347,257,21,12
0.56,0.9437086092715232,0.9437377181997044,0.9533699723547051,0.9468046051984723,0.9458531376878936,0.9437086092715232,0.9434290175476876,0.9477911646586346,0.9182879377431906,0.932806324110672,257,21,13
0.57,0.9437086092715232,0.9437377181997044,0.9533699723547051,0.9468046051984723,0.9458531376878936,0.9437086092715232,0.9434290175476876,0.9477911646586346,0.9182879377431906,0.932806324110672,257,21,13
0.58,0.9437086092715232,0.9437377181997044,0.9533699723547051,0.9468046051984723,0.9458531376878936,0.9437086092715232,0.9434290175476876,0.9477911646586346,0.9182879377431906,0.932806324110672,257,21,13
0.59,0.9426048565121413,0.943412886404993,0.952179496164229,0.9461034143058872,0.9446439308021526,0.9426048565121413,0.9423382351901715,0.944,0.9182879377431906,0.9309664694280079,257,21,14
0.6,0.9426048565121413,0.9467145116258728,0.951174308096784,0.9471480319360694,0.9448307908116446,0.9426048565121413,0.9423782526344634,0.9367588932806324,0.9221789883268483,0.9294117647058824,257,20,16
0.61,0.9415011037527594,0.9464656312126652,0.9496862128586888,0.9461107694563069,0.9437302899905318,0.9415011037527594,0.9411572012300202,0.9330708661417323,0.9221789883268483,0.9275929549902152,257,20,17
0.62,0.9392935982339956,0.9460309716204818,0.946800209972686,0.9444514923218976,0.9415955293800119,0.9392935982339956,0.9389939112321881,0.92578125,0.9221789883268483,0.9239766081871345,257,20,19
0.63,0.9392935982339956,0.9460309716204818,0.946800209972686,0.9444514923218976,0.9415955293800119,0.9392935982339956,0.9389939112321881,0.92578125,0.9221789883268483,0.9239766081871345,257,20,19
0.64,0.9381898454746137,0.9475939907234718,0.9452129083853843,0.9441895962633269,0.9409725868842471,0.9381898454746137,0.9379459487072399,0.9186046511627907,0.9221789883268483,0.920388349514563,257,20,21
0.65,0.9381898454746137,0.9475939907234718,0.9452129083853843,0.9441895962633269,0.9409725868842471,0.9381898454746137,0.9379459487072399,0.9186046511627907,0.9221789883268483,0.920388349514563,257,20,21
0.66,0.9403973509933775,0.9503085048596835,0.9455834846314469,0.9457948429945066,0.9431445334991482,0.9403973509933775,0.9401640265139132,0.9192307692307692,0.9299610894941635,0.9245647969052224,257,18,21
0.67,0.9403973509933775,0.9503085048596835,0.9455834846314469,0.9457948429945066,0.9431445334991482,0.9403973509933775,0.9401640265139132,0.9192307692307692,0.9299610894941635,0.9245647969052224,257,18,21
0.68,0.9381898454746137,0.9498666432314591,0.9432025322504947,0.9442897439485085,0.9410541813894395,0.9381898454746137,0.9379152119274693,0.9122137404580153,0.9299610894941635,0.9210019267822736,257,18,23
0.69,0.9381898454746137,0.9498666432314591,0.9432025322504947,0.9442897439485085,0.9410541813894395,0.9381898454746137,0.9379152119274693,0.9122137404580153,0.9299610894941635,0.9210019267822736,257,18,23
0.7,0.934878587196468,0.9491674079178252,0.9384850993003032,0.9415313317842019,0.9379790596793212,0.934878587196468,0.934655526291006,0.9018867924528302,0.9299610894941635,0.9157088122605364,257,18,26
0.71,0.9326710816777042,0.9486153307590408,0.9353898612050652,0.9397258460080063,0.9358767052833399,0.9326710816777042,0.9324958449596457,0.8951310861423221,0.9299610894941635,0.9122137404580153,257,18,28
